               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.020612,            0.010383,           0.0045267,             0.97688,             0.96728,             0.98666,             0.87583,            0.013108,           0.0023743,           0.0032567,            0.007416,            0.007416,            0.007416
                 110,            0.020318,            0.010349,           0.0043521,             0.97165,             0.97303,             0.98668,             0.87859,            0.013211,           0.0023286,           0.0031971,           0.0073733,           0.0073733,           0.0073733
                 111,            0.020693,            0.010448,           0.0045805,             0.97291,             0.97387,             0.98601,             0.87625,              0.0131,           0.0022949,           0.0031675,           0.0073303,           0.0073303,           0.0073303
                 112,            0.020596,            0.010371,           0.0042641,             0.96933,             0.97789,             0.98612,             0.87826,            0.013483,           0.0022728,           0.0030726,           0.0072872,           0.0072872,           0.0072872
                 113,            0.020419,            0.010314,           0.0047007,             0.97315,             0.96603,             0.98466,             0.87585,            0.013047,           0.0022941,           0.0032307,           0.0072438,           0.0072438,           0.0072438
                 114,            0.020461,            0.010258,           0.0044163,             0.97196,             0.96509,             0.98501,             0.87812,            0.012833,           0.0022888,           0.0033188,           0.0072003,           0.0072003,           0.0072003
                 115,            0.020378,            0.010261,           0.0045024,             0.97009,             0.96013,             0.98368,             0.87657,            0.013065,            0.002306,           0.0035008,           0.0071566,           0.0071566,           0.0071566
                 116,            0.020297,            0.010124,           0.0042806,             0.97295,             0.96772,             0.98446,             0.87527,             0.01306,           0.0023271,           0.0034612,           0.0071127,           0.0071127,           0.0071127
                 117,            0.020087,           0.0099383,           0.0040739,             0.97892,             0.96574,             0.98522,             0.87848,            0.012718,           0.0023328,           0.0033359,           0.0070686,           0.0070686,           0.0070686
                 118,            0.019988,            0.010054,           0.0043189,             0.97722,             0.96477,             0.98514,              0.8772,            0.012868,           0.0023401,           0.0034541,           0.0070243,           0.0070243,           0.0070243
                 119,            0.020167,            0.010181,           0.0043962,             0.97492,             0.96653,             0.98452,               0.878,            0.012954,           0.0023196,           0.0035394,           0.0069799,           0.0069799,           0.0069799
                 120,            0.020178,            0.010143,            0.004423,             0.97244,             0.96707,             0.98463,             0.87992,            0.013122,           0.0023073,           0.0035181,           0.0069353,           0.0069353,           0.0069353
                 121,            0.020437,            0.010316,           0.0043997,             0.97713,             0.96507,             0.98347,             0.87948,            0.012693,           0.0022837,           0.0035909,           0.0068906,           0.0068906,           0.0068906
                 122,             0.02034,            0.010292,            0.004378,             0.98216,             0.96756,              0.9838,             0.88149,            0.012402,           0.0022976,           0.0035982,           0.0068457,           0.0068457,           0.0068457
                 123,            0.019945,           0.0099618,            0.004225,             0.97048,             0.96803,             0.98294,             0.88045,            0.012481,            0.002316,           0.0035704,           0.0068006,           0.0068006,           0.0068006
                 124,            0.020143,            0.010261,           0.0042714,             0.97405,             0.96753,             0.98365,             0.87814,            0.012379,           0.0023043,           0.0034853,           0.0067555,           0.0067555,           0.0067555
                 125,            0.019929,            0.009991,           0.0040451,             0.96709,             0.97137,             0.98385,             0.87488,             0.01197,           0.0023003,           0.0033935,           0.0067101,           0.0067101,           0.0067101
                 126,            0.020071,            0.010121,           0.0042733,             0.97384,             0.96605,             0.98343,             0.87402,             0.01239,           0.0022818,           0.0033997,           0.0066647,           0.0066647,           0.0066647
                 127,            0.019963,            0.010056,           0.0040514,             0.96943,             0.97114,               0.984,             0.87864,            0.012563,           0.0022609,           0.0033627,           0.0066191,           0.0066191,           0.0066191
                 128,            0.019625,           0.0099799,           0.0041477,             0.97331,             0.96717,             0.98416,             0.87588,            0.012769,           0.0022776,            0.003308,           0.0065734,           0.0065734,           0.0065734
                 129,            0.019838,            0.010019,           0.0042451,             0.97748,             0.96285,              0.9844,             0.87988,             0.01276,           0.0022896,           0.0033539,           0.0065276,           0.0065276,           0.0065276
                 130,            0.019953,            0.010057,           0.0041521,              0.9756,             0.95991,             0.98379,             0.87607,            0.012665,           0.0023156,           0.0035132,           0.0064816,           0.0064816,           0.0064816
                 131,            0.019521,            0.009841,           0.0041885,             0.97559,             0.96326,             0.98375,             0.87916,            0.012954,           0.0023019,           0.0034746,           0.0064356,           0.0064356,           0.0064356
                 132,            0.019426,           0.0099018,           0.0042616,             0.97366,             0.96788,             0.98364,             0.87785,            0.013102,           0.0023137,            0.003489,           0.0063895,           0.0063895,           0.0063895
                 133,            0.019613,           0.0098029,           0.0041287,             0.97803,             0.96153,             0.98219,             0.87773,            0.012754,           0.0023077,           0.0034875,           0.0063432,           0.0063432,           0.0063432
                 134,            0.019556,            0.009996,           0.0042519,             0.97853,             0.96254,             0.98283,             0.88079,            0.012305,           0.0022997,           0.0034756,           0.0062969,           0.0062969,           0.0062969
                 135,            0.019316,           0.0098287,            0.004046,              0.9727,             0.96939,             0.98424,             0.88337,            0.012031,           0.0022804,           0.0033923,           0.0062505,           0.0062505,           0.0062505
                 136,            0.018858,           0.0096461,           0.0038838,             0.97958,             0.97014,             0.98375,             0.88411,            0.011956,           0.0022736,           0.0033827,            0.006204,            0.006204,            0.006204
